id,Name,URL,Title,Country,Mountain Range,Height(m),Coordinates,Type,Views,Popularity,Number of Images,Number of Paths,Number of GPS Paths,Registration Book,Description
155,Kamniti lovec / Cima del Cacciatore,https://www.hribi.net/gora/kamniti_lovec___cima_del_cacciatore/1/662,Kamniti lovec / Cima del Cacciatore,Italija,Julijske Alpe,2071,"46,46466°N 13,52795°E",vrh,571186,94% (209. mesto),8,5,0,3,"Kamniti lovec je priljubljena izletniška točka nad Trbižem. Zaradi kratkega dostopa, ki ga skrajša žičnica na Višarje je dobro obiskan. Na vrh na katerem stoji križ pripeljeta dve poti. Prva, ki jo uporablja večina planincev in je tudi lažja pride z Svetih Višarij, druga težja pa iz doline Zajzere po markirani peš poti čez sedlo Prašnik. Tudi lažja pot v zadnjem delu zahteva precejšnjo previdnost. Sicer pa je s Kamnitega lovca zelo lep pogled na Viš in Montaž in njune sosednje vrhove. Ne manjkajo tudi slovenski vrhovi, kjer kraljujeta Mangart in Jalovec. Proti severu pa je pogled na Karnijske Alpe za katerimi vidimo nekoliko višje avstrijske gore."
156,Zasavska koča na Prehodavcih,https://www.hribi.net/gora/zasavska_koca_na_prehodavcih/1/175,Zasavska koča na Prehodavcih,Slovenija,Julijske Alpe,2071,"46,35856°N 13,79209°E","vrh, koča, bivak",794022,98% (56. mesto),9,7,0,5,"Zasavska koča na Prehodavcih se nahaja na razgledni vzpetini nad Dolino triglavskih jezer. Od koče, ki je odprta v poletni sezoni, se nam odpre lep razgled po zgornjem delu že omenjene doline, Vodnikovemu Vršacu oz. Vršacu nad zadnjico, Poprovcu, Vršakom, Zelnarici, grebenu Špičja in goram nad dolino Trente. V času, ko je koča zaprta nam zavetje nudi zimski bivak, ki je od koče oddaljen nekaj 10 metrov."
157,Mala Tičarica,https://www.hribi.net/gora/mala_ticarica/1/151,Mala Tičarica,Slovenija,Julijske Alpe,2071,"46,3202°N 13,78512°E",vrh,586946,95% (181. mesto),14,4,0,5,Mala Tičarica je zelo razgledna gora nad Dvojnim Triglavskim jezerom. Z vrha je lep pogled proti koči pri Triglavskih jezerih in osrednjemu delu doline. Lepo se vidijo vse planote Komne in zadaj Krn. Tudi Lepo Špičje se lepo vidi. Na drugo stran pa se vidijo vrhovi Fužinskih planin kjer kraljuje Debeli vrh. Delno se vidi tudi Triglav. Malo Tičarico marsikdo zamenja s sosednjo Veliko Tičarico.
158,Visoki Pipar,https://www.hribi.net/gora/visoki_pipar/1/3858,Visoki Pipar,Italija,Julijske Alpe,2069,"46,4732°N 13,43532°E",vrh,3980,37% (2274. mesto),10,2,0,,Visoki Pipar ali italijansko Monte Piper je z 2069 metri najvišji in najlažje dostopen vrh v grebenu Piparjev v Naborjetskih gorah. Z vrha na katerem se nahaja večji možic z manjšim križem je zelo lep razgled predvsem proti Montažu ter na bližnje vrhove v grebenu Naborjetskih gora. V daljavi pa so lepo vidne tudi Karnijske Alpe in slovenski del Julijskih Alp.
159,Zavetišče pod Špičkom,https://www.hribi.net/gora/zavetisce_pod_spickom/1/210,Zavetišče pod Špičkom,Slovenija,Julijske Alpe,2064,"46,41015°N 13,67785°E","koča, bivak",558094,94% (235. mesto),3,4,3,4,"Opis koče: Zavetišče se nahaja nad dolino Zadnje Trente, pod strmo in že od daleč vidno ostrico imenovano Špiček (2192 m). Od zavetišča, ki je odprto od julija do septembra, se nam odpre lep razgled na vrhove, ki obdajajo zgornji del doline reke Soče. V času, ko je zavetišče zaprto, pa lahko prenočimo v manjši zimski sobi, ki ima štiri ležišča."
160,Poldnik (Kopa) / Picco di Mezzodi,https://www.hribi.net/gora/poldnik_kopa___picco_di_mezzodi/1/3289,Poldnik (Kopa) / Picco di Mezzodi,Italija,Julijske Alpe,2063,"46,45951°N 13,63677°E",vrh,11070,43% (2063. mesto),3,1,0,,"Poldnik je razglednik nad Belopeškimi jezeri, severno od Mangarta. Nudi zelo lep razgled na greben od Visoke Ponce do Mangarta, na gore, ki obdajajo Rabeljsko jezero ter najbolj zahodni del Karavank."
161,Podrta gora,https://www.hribi.net/gora/podrta_gora/1/2680,Podrta gora,Slovenija,Julijske Alpe,2061,"46,26114°N 13,76907°E",vrh,22600,45% (1997. mesto),3,3,0,,"Podrta gora je z 2061 m druga najvišja gora v grebenu južno-bohinjskih gora. Leži med Zelenim vrhom (2052 m) in Vrhom nad Škrbino (2054 m). Pristop na goro poteka po brezpotju, po katerem je potrebnega nekaj lažjega plezanja. Gora je točka plezalnega dela Bohinjske planinske poti. Po legendi naj bi gora bila točno tako visoka kot Triglav preden se je zrušila in pod seboj pokopala zmaja (slednje opisuje tudi pripovedka)."
162,Veliki Pršivec,https://www.hribi.net/gora/veliki_prsivec/1/506,Veliki Pršivec,Slovenija,Julijske Alpe,2056,"46,38125°N 13,88672°E",vrh,434067,85% (542. mesto),6,1,0,,"Malo znana gora se nahaja nad Krmo. Vrh ima zelo lep razgled saj se z njega vidijo najvišji vrhovi Julijskih Alp kot so Triglav, Rž, Rjavina, Luknja peč, in cela veriga gora nad Krmo s Toscem in Vernarjem na koncu. Z vrha proti dolini pa je mogočen prepad skoraj 1000m."
163,Vrh nad Škrbino,https://www.hribi.net/gora/vrh_nad_skrbino/1/698,Vrh nad Škrbino,Slovenija,Julijske Alpe,2054,"46,2544°N 13,78°E",vrh,512248,91% (313. mesto),4,12,5,,Vrh nad Škrbino je najvzhodnejši dvatisočak v grebenu Spodnjih Bohinjskih gora. Z vrha je zelo lep razgled na bližnje gore v grebenu ter na gore okoli Triglava. Lepo se vidi tudi Bohinjsko jezero.
164,Zeleni vrh,https://www.hribi.net/gora/zeleni_vrh/1/1888,Zeleni vrh,Slovenija,Julijske Alpe,2052,"46,2608°N 13,7635°E",vrh,359417,78% (799. mesto),13,7,0,,"Zeleni vrh je 2052 m visoka gora, ki se nahaja vzhodno od najvišjega vrha Spodnjih Bohinjskih gora. S travnatega vrha, ki se prepadno spušča proti planoti Spodnja Komna, se nam odpre lep razgled na že omenjeni Tolminski Kuk ter na Mali vrh, Podrto goro, Vrh Konte, Vrh nad Škrbino, Tolminski Migovec, ob lepi vidljivosti pa vidimo Triglav ter ostale bohinjske gore, morje in Škofjeloško ter Cerkljansko hribovje."
165,Pogačnikov dom na Kriških podih,https://www.hribi.net/gora/pogacnikov_dom_na_kriskih_podih/1/164,Pogačnikov dom na Kriških podih,Slovenija,Julijske Alpe,2050,"46,40273°N 13,80077°E","vrh, koča, bivak",929097,99% (32. mesto),8,4,0,14,"Dom se nahaja na razgledni vzpetini na Kriških podih nad Trento. Dom, ki je odprt v poletni sezoni ima tudi veliko zimsko sobo. Razgled je lep proti Planji, Razorju, Križu, Stenarju in ostalim vrhovom nad Trento. Le malo pod domom pa leži srednje Kriško jezero."
166,Viševnik,https://www.hribi.net/gora/visevnik/1/77,Viševnik,Slovenija,Julijske Alpe,2050,"46,35901°N 13,89829°E",vrh,1114422,100% (8. mesto),15,21,6,42,"Viševnik je 2050 m visoka gora, ki se dviguje severozahodno od Rudnega polja na Pokljuki. Z vrha na katerem se nahaja žig se nam odpre lep razgled na Pokljuko in večino najvišjih vrhov Julijskih Alp."
167,Jelenk,https://www.hribi.net/gora/jelenk/1/3479,Jelenk,Slovenija,Julijske Alpe,2049,"46,36421°N 13,51103°E",vrh,685,22% (2831. mesto),3,0,2,1,"Hrib Jelenk se nahaja na grebenu desno od doline Krnice v Kaninskem pogorju. Je srednji izmed treh vrhov ki si sledijo po grebenu Vratni vrh, Jelenk in vrh pri Banderi ter levo od Plešivca, če gledamo iz Bovške smeri."
168,Cima Alta (Dve špici),https://www.hribi.net/gora/cima_alta_dve_spici/1/659,Cima Alta (Dve špici),Italija,Julijske Alpe,2046,"46,47645°N 13,42029°E",vrh,419470,84% (592. mesto),16,5,0,,"Dve špici (Due Pizzi) sestavljata dva vrhova v skupini Naborjetskih gora in sicer Cima Alta (2046m) in Cima Vildiver (2008m). Na obeh vrhovih je postavljeni tudi križ. Cima Alta je zahodni nekoliko višji vrh na katerega vodi tudi markirana pot. V okolici vrha se nahaja kar nekaj ostankov iz prve svetovne vojne, zelo zanimiva je predvsem izklesana polica v navpično južno steno Cime Alte. Z vrha je zelo lep pogled na severne stene Montaža in Viša, lepo pa se vidijo tudi vzhodne Karnijske Alpe."
169,Veliki Lemež,https://www.hribi.net/gora/veliki_lemez/1/2988,Veliki Lemež,Slovenija,Julijske Alpe,2042,"46,2882°N 13,6721°E",vrh,15130,44% (2029. mesto),13,2,0,,Veliki Lemež je 2042 metrov visok vrh nad dolino Lepena. Pod njegovimi jugovzhodnimi pobočji pa se nahaja Krnsko jezero. V bližini vrha je tudi še precej ostankov iz prve svetovne vojne. Z vrha je sicer zelo lep razgled na večji del Krnskega pogorja.
170,Bivak Marussich,https://www.hribi.net/gora/bivak_marussich/1/1037,Bivak Marussich,Italija,Julijske Alpe,2041,"46,37206°N 13,42438°E","bivak, sedlo",272453,69% (1117. mesto),14,5,0,,"Opis bivaka: Bivak Elio Marussich je prijeten bivak, ki se nahaja v neposredni bližini prevala Peravo, le ta pa se nahaja severozahodno od Visokega Kanina. Od lepo urejenega bivaka v katerem je prostora za 8 ljudi, je lep razgled na zahodni del Julijskih Alp."
171,Jezerski Stog,https://www.hribi.net/gora/jezerski_stog/1/259,Jezerski Stog,Slovenija,Julijske Alpe,2040,"46,33838°N 13,8449°E",vrh,525778,92% (288. mesto),12,6,1,1,"Jezerski Stog je razgledna gora, ki se nahaja med Fužinskimi planinami in Velim poljem. Z vrha, na katerem se nahaja velik možic, se nam odpre lep razgled na Spodnje Bohijske gore, del Fužinskih planin, Ograde, Debeli vrh, Adama in Evo, Prevalski Stog ter gore nad Velim poljem."
172,Na Pečeh,https://www.hribi.net/gora/na_peceh/1/1384,Na Pečeh,Slovenija,Julijske Alpe,2039,"46,44889°N 13,82604°E",vrh,320247,74% (935. mesto),3,1,0,,"Na Pečeh je manj znan vrh, ki se nahaja ob boku najvišjih vrhov Martuljških gora. Z vrha, ki prepada v krnico Pod Srcem, se nam odpre lep pogled na ostenja že omenjenih vrhov."
173,Srednji vrh (nad jezerom v Lužnici),https://www.hribi.net/gora/srednji_vrh_nad_jezerom_v_luznici/1/1595,Srednji vrh (nad jezerom v Lužnici),Slovenija,Julijske Alpe,2032,"46,2609°N 13,6767°E",vrh,344069,77% (849. mesto),4,3,0,1,"Srednji vrh je 2032 m visoka gora, ki se nahaja severozahodno od jezera v Lužnici. Z vrha, se nam odpre lep razgled na Krn, Batognico, Vrh nad Peski, Male Peske, Škofič, Rdeči rob, Maselnik in planinam Kuhinja, Slapnik in Zaslap."
174,Drobeče Sleme,https://www.hribi.net/gora/drobece_sleme/1/468,Drobeče Sleme,Slovenija,Julijske Alpe,2029,"46,45453°N 13,87242°E",vrh,344324,77% (847. mesto),1,3,0,6,Vrh se nahaja v istem grebenu kot bolj poznano Sleme. Na razglednem vrhu s katerega se lepo vidita Kukova špica in Špik je tudi vpisna skrinjica z vpisno knjigo. Ob skrinjici je kravji zvonec na katerega lahko pozvonimo.
175,Kreda,https://www.hribi.net/gora/kreda/1/280,Kreda,Slovenija,Julijske Alpe,2025,"46,32648°N 13,80956°E",vrh,455647,87% (471. mesto),6,2,1,1,"Razgledna gora, ki je poraščena s travo se nahaja med planino Laz, planino Dedno polje in Slatno. Z nje je lep razgled na vrhove Fužinskih planin."
176,Eva,https://www.hribi.net/gora/eva/1/712,Eva,Slovenija,Julijske Alpe,2019,"46,34135°N 13,84004°E",vrh,446387,86% (506. mesto),1,1,0,3,"Eva je vrh, ki se nahaja v osrčju Julijskih Alp med Prevalskim in Jezerskim Stogom. Z vrha je lep pogled na Jezerski Stog, Ograde, Debeli vrh in Škednjovec. Eva je skupaj s sosednjim Adamom naravna znamenitost TNPja."
177,Velika Baba,https://www.hribi.net/gora/velika_baba/1/675,Velika Baba,Slovenija,Julijske Alpe,2016,"46,29478°N 13,70854°E",vrh,571282,94% (208. mesto),9,4,6,2,"Velika Baba je najvišji vrh vzhodnega grebena nad dolino Lepene. Z vrha, ki ima vpisno skrinjico je lep pogled na Krn in Krnsko jezero, tudi najvišji vrhovi Julijskih Alp ne manjkajo."
178,Debela peč,https://www.hribi.net/gora/debela_pec/1/84,Debela peč,Slovenija,Julijske Alpe,2014,"46,39071°N 13,93316°E",vrh,1059312,100% (16. mesto),10,13,5,30,"Debela peč je 2014 m visoka gora, ki se z ene strani strmo dviga nad dolino Krme, na drugo stran pa se zložno spušča proti prostranim Pokljuškim gozdovom. Z vrha, na katerem je žig in vpisna skrinjica, se nam odpre lep razgled na najvišje vrhove Julijskih Alp, Karavank, ob lepem vremenu pa tudi Kamniško Savinjskih Alp."
179,Lopatnik,https://www.hribi.net/gora/lopatnik/1/2309,Lopatnik,Slovenija,Julijske Alpe,2012,"46,2868°N 13,6493°E",vrh,425088,84% (569. mesto),16,1,0,,"Lopatnik je lahko dostopen dvatisočak nad planino Zapleč. Njegov vrh v obliki diadema se dviga med sedlom Vrata in grebenom Krnčice. Vrh je brez vpisne skrinjice in žiga. Z njega se odpirajo prekrasni razgledi na večji del Julijskih Alp in še naprej. Na vrhu je veliko ostankov iz 1. svetovne vojne, ki nas na vsakem koraku opominjajo na hude čase, ki so jih tu preživljali vojaki. Vrh se rad že dopoldan zagrne v meglo in oblake, ki se podijo okoli Krna. V vročih poletnih dneh pa je dobro za vzpon izbrati zgodnje jutranje ure, saj so južna pobočja, po katerih se vije pot, cel dan izpostavljena soncu."
180,Adam,https://www.hribi.net/gora/adam/1/711,Adam,Slovenija,Julijske Alpe,2012,"46,3406°N 13,83849°E",vrh,437230,85% (536. mesto),1,1,0,3,"Adam, ki skupaj s sosednjo Evo spada med naravne znamenitosti TNPja se nahaja med Jezerskim prevalom, planino Jezerce in Prevalskim Stogom. Z vrha, ki se prepadno spušča proti jugu je lep razgled na Ograde, Debeli vrh, Škednjovec in ostale Fužinske vrhove."
181,Cima Vildiver (Dve špici),https://www.hribi.net/gora/cima_vildiver_dve_spici/1/3585,Cima Vildiver (Dve špici),Italija,Julijske Alpe,2008,"46,47694°N 13,423°E",vrh,1330,27% (2658. mesto),11,2,0,,"Dve špici sestavljata dva vrhova v skupini Naborjetskih gora in sicer Cima Alta (2046 m) in Cima Vildiver (2008 m). Cima Vildiver je nekoliko nižji vrh na katerega vodi neoznačena pot. Malo pod vrhom se nahaja tudi bivak Bernardinis. V okolici vrha se nahaja kar nekaj ostankov iz prve svetovne vojne, zelo zanimiv je predor skozi Cima Vildiver. Z vrha na katerem stoji križ je sicer zelo lep razgled na večji del Zahodnih Julijskih Alp ter na vzhodne Karnijske Alpe."
182,Mahavšček,https://www.hribi.net/gora/mahavscek/1/327,Mahavšček,Slovenija,Julijske Alpe,2008,"46,27747°N 13,73621°E",vrh,525977,92% (287. mesto),8,6,3,1,"Mahavšček ali Veliki Bogatin je 2008 m visoka gora, ki se nahaja na severozahodnem obrobju Spodnjih Bohinjskih gora. Z vrha, na katerem je nekoliko večja vpisna skrinjica, se nam odpre lep razgled, ki seže vse od Jadranskega morja do najvišjih vrhov Julijskih Alp."
183,Brda,https://www.hribi.net/gora/brda/1/263,Brda,Slovenija,Julijske Alpe,2008,"46,38497°N 13,92546°E",vrh,525696,92% (289. mesto),9,9,0,15,"Brda so razgleden vrh, ki se nahaja med Pokljuko in Krmo. Z vrha, na katerem je na kovinski drog pritrjen žig, se nam odpre lep razgled proti Triglavu, vrhovom nad dolino Krme, zahodnim in osrednjim Karavankam, Grintovcu in ostalim najvišjim vrhovom v Kamniško Savinjskih Alpah, Pokljuki in Jelovici ter verigi Spodnjih Bohinjskih gora."
184,Rjavo jezero,https://www.hribi.net/gora/rjavo_jezero/1/172,Rjavo jezero,Slovenija,Julijske Alpe,2006,"46,35541°N 13,79558°E",jezero,454401,87% (473. mesto),8,4,0,,"Opis jezera: Rjavo jezero je najvišje od vseh Triglavskih jezer. Nahaja se nad 2000m in je drugo po vrsti od sedmerih jezer. Jezero, ki nima stalne višine je globoko do 10m, dolgo 150m in široko 100m v sušnih obdobjih pa skoraj usahne."
185,Ablanca,https://www.hribi.net/gora/ablanca/1/461,Ablanca,Slovenija,Julijske Alpe,2004,"46,35294°N 13,88419°E",vrh,555028,93% (240. mesto),11,9,1,6,"Ablanca je 2004 m visok vrh, ki se nahaja jugovzhodno od Studorskega prevala. Z vrha, ki je najvišji vrh manj znanega grebena imenovanega Sleme, se nam odpre lep pogled na večino bohinjskih gora."
186,Lanževica,https://www.hribi.net/gora/lanzevica/1/325,Lanževica,Slovenija,Julijske Alpe,2003,"46,29681°N 13,72491°E",vrh,516641,92% (307. mesto),14,6,4,2,"Lanževica je 2003 m visok vrh, ki se nahaja med Bogatinskim sedlom in Oslovo škrbino. Z vrha, na katerem stojijo ostanki nekdanje Rapalske meje, se nam odpre lep razgled po večjem delu Julijskih Alp, Primorski in delu Jadranskega morja."
187,Kal,https://www.hribi.net/gora/kal/1/936,Kal,Slovenija,Julijske Alpe,2001,"46,31143°N 13,74607°E",vrh,404845,82% (640. mesto),6,1,4,,"Kal je razgledna gora, ki se nahaja med Lepo in Zgornjo Komno. Z vrha, ki ga obdaja rušje je lep razgled na večino vrhov Julijskih Alp. Kal je odmaknjen od markiranih poti in zato priljubljen pri ljubiteljih brezpotij, v zimskem času pa vrh pogosto obiščejo turni smučarji."
188,Meja,https://www.hribi.net/gora/meja/1/1108,Meja,Slovenija,Julijske Alpe,1996,"46,25076°N 13,78727°E",vrh,264640,69% (1144. mesto),4,5,1,,"Meja je skoraj 2000m visok vrh, ki se nahaja v osrčju Spodnjih Bohinjskih gora, natančneje med Vrhom nad Škrbino in Voglom. Z malo obiskanega vrha se nam odpre lep pogled proti omenjeni verigi gora ter osrednjim Julijcem, kjer izstopa najvišji vrh Slovenije, Triglav."
189,Vrh nad Vodeno Rupo,https://www.hribi.net/gora/vrh_nad_vodeno_rupo/1/1538,Vrh nad Vodeno Rupo,Slovenija,Julijske Alpe,1995,"46,3261°N 13,7915°E",vrh,203847,62% (1376. mesto),3,1,0,,"Vrh nad Vodeno Rupo je 1995 m visoka gora, ki se nahaja južno od Vodenih Rup. Z vrha, ki je deloma poraščen z rušjem, se nam odpre lep razgled na gore, ki obdajajo dolino Za Kopico."
190,Zeleno jezero,https://www.hribi.net/gora/zeleno_jezero/1/173,Zeleno jezero,Slovenija,Julijske Alpe,1988,"46,35125°N 13,79484°E",jezero,464023,88% (447. mesto),8,4,0,,"Opis jezera: Zeleno jezero se nahaja pod prevalom Hribarice v bližini Zasavske koče. Tretje po vrsti od sedmerih jezer je dobilo ime po zeleni barvi. Zeleno barvo mu dajejo alge, ki rastejo v jezeru. Veliko je 100m, široko 80m in globoko 2m. Od jezera je lep razgled na vrhove nad dolino Triglavskih jezer."
191,Vratni vrh,https://www.hribi.net/gora/vratni_vrh/1/3478,Vratni vrh,Slovenija,Julijske Alpe,1983,"46,36069°N 13,51135°E",vrh,2040,31% (2512. mesto),6,1,0,,"Vratni vrh se nahaja v Kaninskem pogorju desno nad dolino Krnice in je prvi v sklopu grebena, ki se nadaljuje na vrh Jelenk in vrh pri Banderi."
192,Vogel (nad Lepeno),https://www.hribi.net/gora/vogel_nad_lepeno/1/2986,Vogel (nad Lepeno),Slovenija,Julijske Alpe,1980,"46,28518°N 13,66587°E",vrh,7090,42% (2124. mesto),7,2,0,,Vogel je 1980 metrov visok brezpotni vrh nad dolino Lepena. Točneje v grebenu med sedlom Čez Potoče in vrhom Veliki Lemež. Z vrha je zelo lep razgled na večji del Krnskega pogorja. V okolici vrha je tudi še kar nekaj ostankov iz prve svetovne vojne.
193,Velika Bavha / Monte Robon,https://www.hribi.net/gora/velika_bavha___monte_robon/1/1553,Velika Bavha / Monte Robon,Italija,Julijske Alpe,1980,"46,38591°N 13,5137°E",vrh,319851,74% (936. mesto),3,3,0,,"Velika Bavha oz. po ital. Monte Robon je 1980 m visoka gora, ki se nahaja severno od Male in Velike Črnelske špice. Z vrha, ki je prepreden s številnimi kraškimi razpokami, brezni in luknjami, se nam odpre lep razgled na Kaninsko skupino gora, Zahodne Julijske Alpe ter proti Mangartu in okoliškim goram."
194,Bivak na Rušju,https://www.hribi.net/gora/bivak_na_rusju/1/216,Bivak na Rušju,Slovenija,Julijske Alpe,1980,"46,41748°N 13,8199°E",bivak,457580,87% (463. mesto),4,1,0,3,"Opis bivaka: Bivak se nahaja pod Dolkovo špico. Z bivaka je lep razgled na Stenar, Križ in del Dolkove špice. Odprt je skozi vse leto v njem pa lahko prespi 8 oseb."
195,Draški rob,https://www.hribi.net/gora/draski_rob/1/1788,Draški rob,Slovenija,Julijske Alpe,1979,"46,3659°N 13,8971°E",vrh,342159,76% (859. mesto),8,2,0,,"Draški rob se imenuje del grebena med Malim Draškim vrhom in Solnicami, ki se prepadno spušča proti dolini Krme. S kote 1979 m, ki je tudi najvišja točka Draškega roba, se nam odpre lep pogled na Viševnik, Mali Draški vrh, Vernar, Kanjavec, Triglav, Rž, Rjavino, Luknjo peč, Krmo, Debeli vrh in bližnji Veliki Selišnik."
196,Bogatin,https://www.hribi.net/gora/bogatin/1/326,Bogatin,Slovenija,Julijske Alpe,1977,"46,28163°N 13,73508°E",vrh,581153,95% (192. mesto),10,4,0,1,Bogatin tudi Mali Bogatin je zadnji oz. prvi vrh v verigi Spodnjih Bohinjskih gora. Z vrha na katerem se nahaja vpisna skrinjica je lep razgled proti celotnim Julijskim Alpam. O Bogatinu je napisana tudi znana pripovedka o Zlatorogovem kraljestvu.
197,Pri Banderi,https://www.hribi.net/gora/pri_banderi/1/1615,Pri Banderi,Slovenija,Julijske Alpe,1974,"46,35512°N 13,64484°E",vrh,203198,62% (1380. mesto),4,1,0,,"Pri Banderi je 1974 m visok vrh, ki se nahaja nad planino nad Sočo, točneje v grebenu gora med Svinjakom in Bavškim Grintavcem. S travnatega vrha, se nam odpre lep razgled na omenjeni greben ter gore, ki se dvigajo nad dolino Bavšice in Lepene."
198,Lipanski vrh,https://www.hribi.net/gora/lipanski_vrh/1/82,Lipanski vrh,Slovenija,Julijske Alpe,1974,"46,37901°N 13,92016°E",vrh,519808,92% (298. mesto),8,3,2,7,"Razgleden vrh se nahaja nad Blejsko kočo na planini Lipanca. Z vrha, ki se prepadno spušča proti dolini Krme je lepo viden Triglav s svojimi okoliškimi vrhovi. Proti jugu pa pod nami vidimo Pokljuko s svojimi planinami in gozdovi."
199,Vrh Planje,https://www.hribi.net/gora/vrh_planje/1/448,Vrh Planje,Slovenija,Julijske Alpe,1971,"46,2663°N 13,7508°E",vrh,355487,78% (814. mesto),3,3,0,,Gora se nahaja med Tolminskim Kukom in Mahavščkom v grebenu Spodnjih Bohinjskih gora. Z vrha je lep pogled proti Julijskim Alpam in na drugo stran na Primorsko. Ob lepem vremenu lahko vidimo tudi morje.
200,Monte Gosadon,https://www.hribi.net/gora/monte_gosadon/1/3580,Monte Gosadon,Italija,Julijske Alpe,1968,"46,47276°N 13,41588°E",vrh,1480,28% (2618. mesto),10,4,0,,Monte Gosadon je nekoliko manj obiskan vrh v skupini Naborjetskih gora. V okolici vrha se nahaja tudi kar nekaj ostankov iz prve svetovne vojne. S 1968 metrov visokega vrha je sicer zelo lep razgled predvsem proti Montažu in na vrhove v grebenu Naborjetskih gora.
201,Raskovec,https://www.hribi.net/gora/raskovec/1/1099,Raskovec,Slovenija,Julijske Alpe,1967,"46,22906°N 13,88543°E",vrh,362690,78% (785. mesto),6,6,0,1,"Raskovec je razgledna gora, ki se nahaja med bolj znano Rodico in Črno prstjo. Z malo obiskanega vrha, na katerem ni vpisne skrinjice in žiga se nam odpre čudovit pogled na verigo Spodnjih Bohinjskih gora, osrednjih Julijcev in Karavank. Ob lepi vidljivosti pa razgled seže vse do Jadranskega morja in Istre."
202,Rodica,https://www.hribi.net/gora/rodica/1/310,Rodica,Slovenija,Julijske Alpe,1966,"46,22774°N 13,86519°E",vrh,732933,98% (79. mesto),9,10,6,11,Gora se nahaja nad Bohinjem v Spodnjih Bohinjskih gorah. Z vrha je lep pogled na Julijske Alpe in Škofjeloško in Cerkljansko hribovje. V zimskem času je zelo priljubljena med turnimi smučarji. Vrh ima vpisno skrinjico.
203,Vrh Ovčje planje,https://www.hribi.net/gora/vrh_ovcje_planje/1/1616,Vrh Ovčje planje,Slovenija,Julijske Alpe,1965,"46,35453°N 13,64104°E",vrh,260632,68% (1160. mesto),7,1,0,,"Vrh Ovčje planje je 1965 m visoka gora, ki se strmo dviga južno od doline Bavšice. S travnatega vrha, na katerem stoji manjši možic, se nam odpre lep razgled na greben med Svinjakom in Bavškim Grintavcem ter ostalim okoliškim vrhovom."
204,Okroglež,https://www.hribi.net/gora/okroglez/1/1124,Okroglež,Slovenija,Julijske Alpe,1965,"46,3861°N 13,93119°E",vrh,367706,79% (760. mesto),7,3,1,12,"Okroglež je z rušjem poraščen vrh, ki se nahaja med Debelo pečjo in Brdi. Z vrha, ki ima žig (brez vpisne knjige) se nam odpre lep pogled na del Karavank, pokljuške gozdove in osrednji del Julijcev, kjer izstopata Triglav in Rjavina."
205,Bivak pod Kotovim sedlom,https://www.hribi.net/gora/bivak_pod_kotovim_sedlom/1/723,Bivak pod Kotovim sedlom,Slovenija,Julijske Alpe,1965,"46,43066°N 13,6879°E",bivak,413714,83% (608. mesto),3,2,0,,"Opis bivaka: Bivak se nahaja v bližini Kotovega sedla pod večjim balvanom, ki ga ščiti pred morebitnim snežnim plazom. V lepo urejenem bivaku lahko prespijo štirje planinci. Razgled od bivaka pa je na vrhove nad dolino Tamar, kjer izstopajo strma prepadna pobočja Jalovca."
206,Mrežce,https://www.hribi.net/gora/mrezce/1/81,Mrežce,Slovenija,Julijske Alpe,1965,"46,37759°N 13,91953°E",vrh,615858,96% (146. mesto),7,7,1,13,"Mrežce so razgleden vrh v bližini Lipanskega vrha katerega vidimo na drugi strani grape med obema vrhovoma. Ker so pobočja proti Pokljuki precej zložna je dostop razmeroma varen tudi v zimskih razmerah. V poletni sezoni je to priljubljena točka družin z majhnimi otroki, v zimskem času pa pri turnih smučarjih. Z vrha je lep pogled na Triglav, Rjavino in Pokljuške vrhove. Vrh ima tudi žig, vpisne skrinjice pa žal ne."
207,Plešivec,https://www.hribi.net/gora/plesivec/1/3474,Plešivec,Slovenija,Julijske Alpe,1962,"46,36113°N 13,51611°E",vrh,3070,35% (2364. mesto),1,1,3,,"Plešivec je 1962m visoka gora, ki se nahaja desno od doline Krnice. Med prvo sv. vojno je bilo na njem močno vojaško oporišče zato na njega vodi iz doline Krnice mulatjera. Na hribu so še danes vidni ostanki konjušnice in zgradbe samo malce pod vrhom. Levo od njega se nahaja Vratni vrh 1983 m."
208,Debeli vrh nad Lipanco,https://www.hribi.net/gora/debeli_vrh_nad_lipanco/1/339,Debeli vrh nad Lipanco,Slovenija,Julijske Alpe,1962,"46,37324°N 13,91123°E",vrh,468461,88% (431. mesto),7,5,0,2,"Debeli vrh je 1962 m visoka gora, ki se nahaja v grebenu gora, ki se strmo dviga nad dolino Krme. Z vrha, na katerem je na kovinski drog pritrjen žig, se nam odpre lep razgled na najvišje vrhove Julijskih Alp, Karavank in Kamniško Savinjskih Alp."
209,Velika Montura,https://www.hribi.net/gora/velika_montura/1/2799,Velika Montura,Slovenija,Julijske Alpe,1958,"46,287°N 13,7116°E",vrh,10010,43% (2073. mesto),9,2,0,,"Velika Montura je razgleden vrh, ki se nahaja med Veliko Babo, Lanževico, Bogatinom in Velikim Šmohorjem. Le malo pod vrhom se nahajajo stare italijanske karavle iz časa rapalske meje, ki danes počasi, a vztrajno propadajo."
